cslNpdidLicence,cslLicenceName,wlbNpdidWellbore,wlbWellboreName,csdYear,csdMonth,csdVolumeInjectedMonth,csdVolumeInjectedTotalYear,csdModifiedDate
34751726,EL001,9615,31/5-A-7 AH,2048,8,"105222","212756",31.08.2048 12:04:26
34751726,EL001,9615,31/5-A-7 AH,2048,7,"107534","107534",31.07.2048 12:04:25
34751726,EL001,9615,31/5-A-7 AH,2048,6,"103332","1500000",30.06.2048 12:04:24
34751726,EL001,9615,31/5-A-7 AH,2048,5,"130413","1396668",31.05.2048 12:04:23
34751726,EL001,9615,31/5-A-7 AH,2048,4,"25016","1266255",30.04.2048 12:04:22
34751726,EL001,9615,31/5-A-7 AH,2048,3,"142113","1241239",31.03.2048 12:04:21
34751726,EL001,9615,31/5-A-7 AH,2048,2,"145482","1099126",29.02.2048 12:04:20
34751726,EL001,9615,31/5-A-7 AH,2048,1,"132286","953644",31.01.2048 12:04:19
34751726,EL001,9615,31/5-A-7 AH,2047,12,"157290","821358",31.12.2047 12:04:18
34751726,EL001,9615,31/5-A-7 AH,2047,11,"129094","664068",30.11.2047 12:04:17
34751726,EL001,9615,31/5-A-7 AH,2047,10,"135080","534974",31.10.2047 12:04:16
34751726,EL001,9615,31/5-A-7 AH,2047,9,"127141","399894",30.09.2047 12:04:15
34751726,EL001,9615,31/5-A-7 AH,2047,8,"141808","272753",31.08.2047 12:04:14
34751726,EL001,9615,31/5-A-7 AH,2047,7,"130945","130945",31.07.2047 12:04:13
34751726,EL001,9615,31/5-A-7 AH,2047,6,"109313","1500000",30.06.2047 12:04:12
34751726,EL001,9615,31/5-A-7 AH,2047,5,"120301","1390687",31.05.2047 12:04:11
34751726,EL001,9615,31/5-A-7 AH,2047,4,"116284","1270386",30.04.2047 12:04:10
34751726,EL001,9615,31/5-A-7 AH,2047,3,"122458","1154102",31.03.2047 12:04:09
34751726,EL001,9615,31/5-A-7 AH,2047,2,"143704","1031644",28.02.2047 12:04:08
34751726,EL001,9615,31/5-A-7 AH,2047,1,"148385","887940",31.01.2047 12:04:07
34751726,EL001,9615,31/5-A-7 AH,2046,12,"146101","739555",31.12.2046 12:04:06
34751726,EL001,9615,31/5-A-7 AH,2046,11,"139720","593454",30.11.2046 12:04:05
34751726,EL001,9615,31/5-A-7 AH,2046,10,"114485","453734",31.10.2046 12:04:04
34751726,EL001,9615,31/5-A-7 AH,2046,9,"111331","339249",30.09.2046 12:04:03
34751726,EL001,9615,31/5-A-7 AH,2046,8,"117127","227918",31.08.2046 12:04:02
34751726,EL001,9615,31/5-A-7 AH,2046,7,"110791","110791",31.07.2046 12:04:01
34751726,EL001,9615,31/5-A-7 AH,2046,6,"120691","1500000",30.06.2046 12:04:00
34751726,EL001,9615,31/5-A-7 AH,2046,5,"115067","1379309",31.05.2046 12:03:59
34751726,EL001,9615,31/5-A-7 AH,2046,4,"107454","1264242",30.04.2046 12:03:58
34751726,EL001,9615,31/5-A-7 AH,2046,3,"145079","1156788",31.03.2046 12:03:57
34751726,EL001,9615,31/5-A-7 AH,2046,2,"137079","1011709",28.02.2046 12:03:56
34751726,EL001,9615,31/5-A-7 AH,2046,1,"121789","874630",31.01.2046 12:03:55
34751726,EL001,9615,31/5-A-7 AH,2045,12,"141442","752841",31.12.2045 12:03:54
34751726,EL001,9615,31/5-A-7 AH,2045,11,"140300","611399",30.11.2045 12:03:53
34751726,EL001,9615,31/5-A-7 AH,2045,10,"143034","471099",31.10.2045 12:03:52
34751726,EL001,9615,31/5-A-7 AH,2045,9,"122514","328065",30.09.2045 12:03:51
34751726,EL001,9615,31/5-A-7 AH,2045,8,"103091","205551",31.08.2045 12:03:50
34751726,EL001,9615,31/5-A-7 AH,2045,7,"102460","102460",31.07.2045 12:03:49
34751726,EL001,9615,31/5-A-7 AH,2045,6,"106100","1500000",30.06.2045 12:03:48
34751726,EL001,9615,31/5-A-7 AH,2045,5,"131995","1393900",31.05.2045 12:03:47
34751726,EL001,9615,31/5-A-7 AH,2045,4,"28622","1261905",30.04.2045 12:03:46
34751726,EL001,9615,31/5-A-7 AH,2045,3,"150387","1233283",31.03.2045 12:03:45
34751726,EL001,9615,31/5-A-7 AH,2045,2,"135223","1082896",28.02.2045 12:03:44
34751726,EL001,9615,31/5-A-7 AH,2045,1,"163047","947673",31.01.2045 12:03:43
34751726,EL001,9615,31/5-A-7 AH,2044,12,"123480","784626",31.12.2044 12:03:42
34751726,EL001,9615,31/5-A-7 AH,2044,11,"132817","661146",30.11.2044 12:03:41
34751726,EL001,9615,31/5-A-7 AH,2044,10,"148337","528329",31.10.2044 12:03:40
34751726,EL001,9615,31/5-A-7 AH,2044,9,"142746","379992",30.09.2044 12:03:39
34751726,EL001,9615,31/5-A-7 AH,2044,8,"135126","237246",31.08.2044 12:03:38
34751726,EL001,9615,31/5-A-7 AH,2044,7,"102120","102120",31.07.2044 12:03:37
34751726,EL001,9615,31/5-A-7 AH,2044,6,"92898","1500000",30.06.2044 12:03:36
34751726,EL001,9615,31/5-A-7 AH,2044,5,"106859","1407102",31.05.2044 12:03:35
34751726,EL001,9615,31/5-A-7 AH,2044,4,"128437","1300243",30.04.2044 12:03:34
34751726,EL001,9615,31/5-A-7 AH,2044,3,"114864","1171806",31.03.2044 12:03:33
34751726,EL001,9615,31/5-A-7 AH,2044,2,"132145","1056942",29.02.2044 12:03:32
34751726,EL001,9615,31/5-A-7 AH,2044,1,"141657","924797",31.01.2044 12:03:31
34751726,EL001,9615,31/5-A-7 AH,2043,12,"138572","783140",31.12.2043 12:03:30
34751726,EL001,9615,31/5-A-7 AH,2043,11,"144156","644568",30.11.2043 12:03:29
34751726,EL001,9615,31/5-A-7 AH,2043,10,"131396","500412",31.10.2043 12:03:28
34751726,EL001,9615,31/5-A-7 AH,2043,9,"134563","369016",30.09.2043 12:03:27
34751726,EL001,9615,31/5-A-7 AH,2043,8,"110714","234453",31.08.2043 12:03:26
34751726,EL001,9615,31/5-A-7 AH,2043,7,"123739","123739",31.07.2043 12:03:25
34751726,EL001,9615,31/5-A-7 AH,2043,6,"111929","1500000",30.06.2043 12:03:24
34751726,EL001,9615,31/5-A-7 AH,2043,5,"108034","1388071",31.05.2043 12:03:23
34751726,EL001,9615,31/5-A-7 AH,2043,4,"132160","1280037",30.04.2043 12:03:22
34751726,EL001,9615,31/5-A-7 AH,2043,3,"142411","1147877",31.03.2043 12:03:21
34751726,EL001,9615,31/5-A-7 AH,2043,2,"157382","1005466",28.02.2043 12:03:20
34751726,EL001,9615,31/5-A-7 AH,2043,1,"155618","848084",31.01.2043 12:03:19
34751726,EL001,9615,31/5-A-7 AH,2042,12,"159945","692466",31.12.2042 12:03:18
34751726,EL001,9615,31/5-A-7 AH,2042,11,"134995","532521",30.11.2042 12:03:17
34751726,EL001,9615,31/5-A-7 AH,2042,10,"25053","397526",31.10.2042 12:03:16
34751726,EL001,9615,31/5-A-7 AH,2042,9,"137750","372473",30.09.2042 12:03:15
34751726,EL001,9615,31/5-A-7 AH,2042,8,"112854","234723",31.08.2042 12:03:14
34751726,EL001,9615,31/5-A-7 AH,2042,7,"121869","121869",31.07.2042 12:03:13
34751726,EL001,9615,31/5-A-7 AH,2042,6,"115379","1500000",30.06.2042 12:03:12
34751726,EL001,9615,31/5-A-7 AH,2042,5,"107820","1384621",31.05.2042 12:03:11
34751726,EL001,9615,31/5-A-7 AH,2042,4,"107591","1276801",30.04.2042 12:03:10
34751726,EL001,9615,31/5-A-7 AH,2042,3,"139177","1169210",31.03.2042 12:03:09
34751726,EL001,9615,31/5-A-7 AH,2042,2,"122370","1030033",28.02.2042 12:03:08
34751726,EL001,9615,31/5-A-7 AH,2042,1,"123910","907663",31.01.2042 12:03:07
34751726,EL001,9615,31/5-A-7 AH,2041,12,"149944","783753",31.12.2041 12:03:06
34751726,EL001,9615,31/5-A-7 AH,2041,11,"155605","633809",30.11.2041 12:03:05
34751726,EL001,9615,31/5-A-7 AH,2041,10,"119202","478204",31.10.2041 12:03:04
34751726,EL001,9615,31/5-A-7 AH,2041,9,"110588","359002",30.09.2041 12:03:03
34751726,EL001,9615,31/5-A-7 AH,2041,8,"125149","248414",31.08.2041 12:03:02
34751726,EL001,9615,31/5-A-7 AH,2041,7,"123265","123265",31.07.2041 12:03:01
34751726,EL001,9615,31/5-A-7 AH,2041,6,"120009","1500000",30.06.2041 12:03:00
34751726,EL001,9615,31/5-A-7 AH,2041,5,"120863","1379991",31.05.2041 12:02:59
34751726,EL001,9615,31/5-A-7 AH,2041,4,"113757","1259128",30.04.2041 12:02:58
34751726,EL001,9615,31/5-A-7 AH,2041,3,"119063","1145371",31.03.2041 12:02:57
34751726,EL001,9615,31/5-A-7 AH,2041,2,"136295","1026308",28.02.2041 12:02:56
34751726,EL001,9615,31/5-A-7 AH,2041,1,"153479","890013",31.01.2041 12:02:55
34751726,EL001,9615,31/5-A-7 AH,2040,12,"153347","736534",31.12.2040 12:02:54
34751726,EL001,9615,31/5-A-7 AH,2040,11,"115063","583187",30.11.2040 12:02:53
34751726,EL001,9615,31/5-A-7 AH,2040,10,"115416","468124",31.10.2040 12:02:52
34751726,EL001,9615,31/5-A-7 AH,2040,9,"120207","352708",30.09.2040 12:02:51
34751726,EL001,9615,31/5-A-7 AH,2040,8,"115064","232501",31.08.2040 12:02:50
34751726,EL001,9615,31/5-A-7 AH,2040,7,"117437","117437",31.07.2040 12:02:49
34751726,EL001,9615,31/5-A-7 AH,2040,6,"102507","1500000",30.06.2040 12:02:48
34751726,EL001,9615,31/5-A-7 AH,2040,5,"129881","1397493",31.05.2040 12:02:47
34751726,EL001,9615,31/5-A-7 AH,2040,4,"138461","1267612",30.04.2040 12:02:46
34751726,EL001,9615,31/5-A-7 AH,2040,3,"114001","1129151",31.03.2040 12:02:45
34751726,EL001,9615,31/5-A-7 AH,2040,2,"128654","1015150",29.02.2040 12:02:44
34751726,EL001,9615,31/5-A-7 AH,2040,1,"125877","886496",31.01.2040 12:02:43
34751726,EL001,9615,31/5-A-7 AH,2039,12,"159740","760619",31.12.2039 12:02:42
34751726,EL001,9615,31/5-A-7 AH,2039,11,"130505","600879",30.11.2039 12:02:41
34751726,EL001,9615,31/5-A-7 AH,2039,10,"136341","470374",31.10.2039 12:02:40
34751726,EL001,9615,31/5-A-7 AH,2039,9,"110816","334033",30.09.2039 12:02:39
34751726,EL001,9615,31/5-A-7 AH,2039,8,"121754","223217",31.08.2039 12:02:38
34751726,EL001,9615,31/5-A-7 AH,2039,7,"101463","101463",31.07.2039 12:02:37
34751726,EL001,9615,31/5-A-7 AH,2039,6,"96418","1500000",30.06.2039 12:02:36
34751726,EL001,9615,31/5-A-7 AH,2039,5,"125376","1403582",31.05.2039 12:02:35
34751726,EL001,9615,31/5-A-7 AH,2039,4,"128717","1278206",30.04.2039 12:02:34
34751726,EL001,9615,31/5-A-7 AH,2039,3,"113440","1149489",31.03.2039 12:02:33
34751726,EL001,9615,31/5-A-7 AH,2039,2,"124868","1036049",28.02.2039 12:02:32
34751726,EL001,9615,31/5-A-7 AH,2039,1,"136348","911181",31.01.2039 12:02:31
34751726,EL001,9615,31/5-A-7 AH,2038,12,"158590","774833",31.12.2038 12:02:30
34751726,EL001,9615,31/5-A-7 AH,2038,11,"120889","616243",30.11.2038 12:02:29
34751726,EL001,9615,31/5-A-7 AH,2038,10,"132977","495354",31.10.2038 12:02:28
34751726,EL001,9615,31/5-A-7 AH,2038,9,"130320","362377",30.09.2038 12:02:27
34751726,EL001,9615,31/5-A-7 AH,2038,8,"123760","232057",31.08.2038 12:02:26
34751726,EL001,9615,31/5-A-7 AH,2038,7,"108297","108297",31.07.2038 12:02:25
34751726,EL001,9615,31/5-A-7 AH,2038,6,"102304","1500000",30.06.2038 12:02:24
34751726,EL001,9615,31/5-A-7 AH,2038,5,"126412","1397696",31.05.2038 12:02:23
34751726,EL001,9615,31/5-A-7 AH,2038,4,"129753","1271284",30.04.2038 12:02:22
34751726,EL001,9615,31/5-A-7 AH,2038,3,"119526","1141531",31.03.2038 12:02:21
34751726,EL001,9615,31/5-A-7 AH,2038,2,"155494","1022005",28.02.2038 12:02:20
34751726,EL001,9615,31/5-A-7 AH,2038,1,"141440","866511",31.01.2038 12:02:19
34751726,EL001,9615,31/5-A-7 AH,2037,12,"126774","725071",31.12.2037 12:02:18
34751726,EL001,9615,31/5-A-7 AH,2037,11,"125116","598297",30.11.2037 12:02:17
34751726,EL001,9615,31/5-A-7 AH,2037,10,"145418","473181",31.10.2037 12:02:16
34751726,EL001,9615,31/5-A-7 AH,2037,9,"115189","327763",30.09.2037 12:02:15
34751726,EL001,9615,31/5-A-7 AH,2037,8,"101441","212574",31.08.2037 12:02:14
34751726,EL001,9615,31/5-A-7 AH,2037,7,"111133","111133",31.07.2037 12:02:13
34751726,EL001,9615,31/5-A-7 AH,2037,6,"93844","1500000",30.06.2037 12:02:12
34751726,EL001,9615,31/5-A-7 AH,2037,5,"107612","1406156",31.05.2037 12:02:11
34751726,EL001,9615,31/5-A-7 AH,2037,4,"113859","1298544",30.04.2037 12:02:10
34751726,EL001,9615,31/5-A-7 AH,2037,3,"127042","1184685",31.03.2037 12:02:09
34751726,EL001,9615,31/5-A-7 AH,2037,2,"123283","1057643",28.02.2037 12:02:08
34751726,EL001,9615,31/5-A-7 AH,2037,1,"158576","934360",31.01.2037 12:02:07
34751726,EL001,9615,31/5-A-7 AH,2036,12,"158966","775784",31.12.2036 12:02:06
34751726,EL001,9615,31/5-A-7 AH,2036,11,"127752","616818",30.11.2036 12:02:05
34751726,EL001,9615,31/5-A-7 AH,2036,10,"134891","489066",31.10.2036 12:02:04
34751726,EL001,9615,31/5-A-7 AH,2036,9,"121775","354175",30.09.2036 12:02:03
34751726,EL001,9615,31/5-A-7 AH,2036,8,"108936","232400",31.08.2036 12:02:02
34751726,EL001,9615,31/5-A-7 AH,2036,7,"123464","123464",31.07.2036 12:02:01
34751726,EL001,9615,31/5-A-7 AH,2036,6,"108803","1500000",30.06.2036 12:02:00
34751726,EL001,9615,31/5-A-7 AH,2036,5,"122187","1391197",31.05.2036 12:01:59
34751726,EL001,9615,31/5-A-7 AH,2036,4,"132311","1269010",30.04.2036 12:01:58
34751726,EL001,9615,31/5-A-7 AH,2036,3,"117997","1136699",31.03.2036 12:01:57
34751726,EL001,9615,31/5-A-7 AH,2036,2,"160774","1018702",29.02.2036 12:01:56
34751726,EL001,9615,31/5-A-7 AH,2036,1,"166139","857928",31.01.2036 12:01:55
34751726,EL001,9615,31/5-A-7 AH,2035,12,"148352","691789",31.12.2035 12:01:54
34751726,EL001,9615,31/5-A-7 AH,2035,11,"26647","543437",30.11.2035 12:01:53
34751726,EL001,9615,31/5-A-7 AH,2035,10,"122280","516790",31.10.2035 12:01:52
34751726,EL001,9615,31/5-A-7 AH,2035,9,"124685","394510",30.09.2035 12:01:51
34751726,EL001,9615,31/5-A-7 AH,2035,8,"140180","269825",31.08.2035 12:01:50
34751726,EL001,9615,31/5-A-7 AH,2035,7,"129645","129645",31.07.2035 12:01:49
34751726,EL001,9615,31/5-A-7 AH,2035,6,"120622","1500000",30.06.2035 12:01:48
34751726,EL001,9615,31/5-A-7 AH,2035,5,"103197","1379378",31.05.2035 12:01:47
34751726,EL001,9615,31/5-A-7 AH,2035,4,"130826","1276181",30.04.2035 12:01:46
34751726,EL001,9615,31/5-A-7 AH,2035,3,"139928","1145355",31.03.2035 12:01:45
34751726,EL001,9615,31/5-A-7 AH,2035,2,"137172","1005427",28.02.2035 12:01:44
34751726,EL001,9615,31/5-A-7 AH,2035,1,"150634","868255",31.01.2035 12:01:43
34751726,EL001,9615,31/5-A-7 AH,2034,12,"155663","717621",31.12.2034 12:01:42
34751726,EL001,9615,31/5-A-7 AH,2034,11,"118488","561958",30.11.2034 12:01:41
34751726,EL001,9615,31/5-A-7 AH,2034,10,"117957","443470",31.10.2034 12:01:40
34751726,EL001,9615,31/5-A-7 AH,2034,9,"104687","325513",30.09.2034 12:01:39
34751726,EL001,9615,31/5-A-7 AH,2034,8,"104640","220826",31.08.2034 12:01:38
34751726,EL001,9615,31/5-A-7 AH,2034,7,"116186","116186",31.07.2034 12:01:37
34751726,EL001,9615,31/5-A-7 AH,2034,6,"134885","1500000",30.06.2034 12:01:36
34751726,EL001,9615,31/5-A-7 AH,2034,5,"127193","1365115",31.05.2034 12:01:35
34751726,EL001,9615,31/5-A-7 AH,2034,4,"126106","1237922",30.04.2034 12:01:34
34751726,EL001,9615,31/5-A-7 AH,2034,3,"145959","1111816",31.03.2034 12:01:33
34751726,EL001,9615,31/5-A-7 AH,2034,2,"126249","965857",28.02.2034 12:01:32
34751726,EL001,9615,31/5-A-7 AH,2034,1,"135510","839608",31.01.2034 12:01:31
34751726,EL001,9615,31/5-A-7 AH,2033,12,"26342","704098",31.12.2033 12:01:30
34751726,EL001,9615,31/5-A-7 AH,2033,11,"143705","677756",30.11.2033 12:01:29
34751726,EL001,9615,31/5-A-7 AH,2033,10,"141177","534051",31.10.2033 12:01:28
34751726,EL001,9615,31/5-A-7 AH,2033,9,"133295","392874",30.09.2033 12:01:27
34751726,EL001,9615,31/5-A-7 AH,2033,8,"137180","259579",31.08.2033 12:01:26
34751726,EL001,9615,31/5-A-7 AH,2033,7,"122399","122399",31.07.2033 12:01:25
34751726,EL001,9615,31/5-A-7 AH,2033,6,"116688","1500000",30.06.2033 12:01:24
34751726,EL001,9615,31/5-A-7 AH,2033,5,"102551","1383312",31.05.2033 12:01:23
34751726,EL001,9615,31/5-A-7 AH,2033,4,"120840","1280761",30.04.2033 12:01:22
34751726,EL001,9615,31/5-A-7 AH,2033,3,"142811","1159921",31.03.2033 12:01:21
34751726,EL001,9615,31/5-A-7 AH,2033,2,"139572","1017110",28.02.2033 12:01:20
34751726,EL001,9615,31/5-A-7 AH,2033,1,"149786","877538",31.01.2033 12:01:19
34751726,EL001,9615,31/5-A-7 AH,2032,12,"132784","727752",31.12.2032 12:01:18
34751726,EL001,9615,31/5-A-7 AH,2032,11,"126440","594968",30.11.2032 12:01:17
34751726,EL001,9615,31/5-A-7 AH,2032,10,"111195","468528",31.10.2032 12:01:16
34751726,EL001,9615,31/5-A-7 AH,2032,9,"115673","357333",30.09.2032 12:01:15
34751726,EL001,9615,31/5-A-7 AH,2032,8,"120044","241660",31.08.2032 12:01:14
34751726,EL001,9615,31/5-A-7 AH,2032,7,"121616","121616",31.07.2032 12:01:13
34751726,EL001,9615,31/5-A-7 AH,2032,6,"101223","1500000",30.06.2032 12:01:12
34751726,EL001,9615,31/5-A-7 AH,2032,5,"132470","1398777",31.05.2032 12:01:11
34751726,EL001,9615,31/5-A-7 AH,2032,4,"137807","1266307",30.04.2032 12:01:10
34751726,EL001,9615,31/5-A-7 AH,2032,3,"143798","1128500",31.03.2032 12:01:09
34751726,EL001,9615,31/5-A-7 AH,2032,2,"155267","984702",29.02.2032 12:01:08
34751726,EL001,9615,31/5-A-7 AH,2032,1,"126292","829435",31.01.2032 12:01:07
34751726,EL001,9615,31/5-A-7 AH,2031,12,"134887","703143",31.12.2031 12:01:06
34751726,EL001,9615,31/5-A-7 AH,2031,11,"153428","568256",30.11.2031 12:01:05
34751726,EL001,9615,31/5-A-7 AH,2031,10,"155172","414828",31.10.2031 12:01:04
34751726,EL001,9615,31/5-A-7 AH,2031,9,"22498","259656",30.09.2031 12:01:03
34751726,EL001,9615,31/5-A-7 AH,2031,8,"133606","237158",31.08.2031 12:01:02
34751726,EL001,9615,31/5-A-7 AH,2031,7,"103552","103552",31.07.2031 12:01:01
34751726,EL001,9615,31/5-A-7 AH,2031,6,"113382","1500000",30.06.2031 12:01:00
34751726,EL001,9615,31/5-A-7 AH,2031,5,"137387","1386618",31.05.2031 12:00:59
34751726,EL001,9615,31/5-A-7 AH,2031,4,"122606","1249231",30.04.2031 12:00:58
34751726,EL001,9615,31/5-A-7 AH,2031,3,"133601","1126625",31.03.2031 12:00:57
34751726,EL001,9615,31/5-A-7 AH,2031,2,"137211","993024",28.02.2031 12:00:56
34751726,EL001,9615,31/5-A-7 AH,2031,1,"26146","855813",31.01.2031 12:00:55
34751726,EL001,9615,31/5-A-7 AH,2030,12,"137574","829667",31.12.2030 12:00:54
34751726,EL001,9615,31/5-A-7 AH,2030,11,"126923","692093",30.11.2030 12:00:53
34751726,EL001,9615,31/5-A-7 AH,2030,10,"155710","565170",31.10.2030 12:00:52
34751726,EL001,9615,31/5-A-7 AH,2030,9,"135502","409460",30.09.2030 12:00:51
34751726,EL001,9615,31/5-A-7 AH,2030,8,"139866","273958",31.08.2030 12:00:50
34751726,EL001,9615,31/5-A-7 AH,2030,7,"134092","134092",31.07.2030 12:00:49
34751726,EL001,9615,31/5-A-7 AH,2030,6,"126963","1500000",30.06.2030 12:00:48
34751726,EL001,9615,31/5-A-7 AH,2030,5,"106361","1373037",31.05.2030 12:00:47
34751726,EL001,9615,31/5-A-7 AH,2030,4,"125382","1266676",30.04.2030 12:00:46
34751726,EL001,9615,31/5-A-7 AH,2030,3,"130613","1141294",31.03.2030 12:00:45
34751726,EL001,9615,31/5-A-7 AH,2030,2,"128331","1010681",28.02.2030 12:00:44
34751726,EL001,9615,31/5-A-7 AH,2030,1,"149129","882350",31.01.2030 12:00:43
34751726,EL001,9615,31/5-A-7 AH,2029,12,"131906","733221",31.12.2029 12:00:42
34751726,EL001,9615,31/5-A-7 AH,2029,11,"152716","601315",30.11.2029 12:00:41
34751726,EL001,9615,31/5-A-7 AH,2029,10,"111696","448599",31.10.2029 12:00:40
34751726,EL001,9615,31/5-A-7 AH,2029,9,"123470","336903",30.09.2029 12:00:39
34751726,EL001,9615,31/5-A-7 AH,2029,8,"104147","213433",31.08.2029 12:00:38
34751726,EL001,9615,31/5-A-7 AH,2029,7,"109286","109286",31.07.2029 12:00:37
34751726,EL001,9615,31/5-A-7 AH,2029,6,"98084","1500000",30.06.2029 12:00:36
34751726,EL001,9615,31/5-A-7 AH,2029,5,"110842","1401916",31.05.2029 12:00:35
34751726,EL001,9615,31/5-A-7 AH,2029,4,"135407","1291074",30.04.2029 12:00:34
34751726,EL001,9615,31/5-A-7 AH,2029,3,"148316","1155667",31.03.2029 12:00:33
34751726,EL001,9615,31/5-A-7 AH,2029,2,"154694","1007351",28.02.2029 12:00:32
34751726,EL001,9615,31/5-A-7 AH,2029,1,"123933","852657",31.01.2029 12:00:31
34751726,EL001,9615,31/5-A-7 AH,2028,12,"128443","728724",31.12.2028 12:00:30
34751726,EL001,9615,31/5-A-7 AH,2028,11,"140733","600281",30.11.2028 12:00:29
34751726,EL001,9615,31/5-A-7 AH,2028,10,"112430","459548",31.10.2028 12:00:28
34751726,EL001,9615,31/5-A-7 AH,2028,9,"127376","347118",30.09.2028 12:00:27
34751726,EL001,9615,31/5-A-7 AH,2028,8,"118246","219742",31.08.2028 12:00:26
34751726,EL001,9615,31/5-A-7 AH,2028,7,"101496","101496",31.07.2028 12:00:25
34751726,EL001,9615,31/5-A-7 AH,2028,6,"113874","1500000",30.06.2028 12:00:24
34751726,EL001,9615,31/5-A-7 AH,2028,5,"116925","1386126",31.05.2028 12:00:23
34751726,EL001,9615,31/5-A-7 AH,2028,4,"120224","1269201",30.04.2028 12:00:22
34751726,EL001,9615,31/5-A-7 AH,2028,3,"120070","1148977",31.03.2028 12:00:21
34751726,EL001,9615,31/5-A-7 AH,2028,2,"145774","1028907",29.02.2028 12:00:20
34751726,EL001,9615,31/5-A-7 AH,2028,1,"138217","883133",31.01.2028 12:00:19
34751726,EL001,9615,31/5-A-7 AH,2027,12,"144442","744916",31.12.2027 12:00:18
34751726,EL001,9615,31/5-A-7 AH,2027,11,"142089","600474",30.11.2027 12:00:17
34751726,EL001,9615,31/5-A-7 AH,2027,10,"126724","458385",31.10.2027 12:00:16
34751726,EL001,9615,31/5-A-7 AH,2027,9,"116041","331661",30.09.2027 12:00:15
34751726,EL001,9615,31/5-A-7 AH,2027,8,"110181","215620",31.08.2027 12:00:14
34751726,EL001,9615,31/5-A-7 AH,2027,7,"105439","105439",31.07.2027 12:00:13
34751726,EL001,9615,31/5-A-7 AH,2027,6,"125066","1500000",30.06.2027 12:00:12
34751726,EL001,9615,31/5-A-7 AH,2027,5,"99063","1374934",31.05.2027 12:00:11
34751726,EL001,9615,31/5-A-7 AH,2027,4,"129396","1275871",30.04.2027 12:00:10
